video_genres,video_level,video_title,video_url,video_year
"ComedyMusicTV Series (1967–1973)
","
                    TV-PG
                        
    
, 


    
            ",Rowan & Martin's Laugh-In             ,https://www.imdb.com/title/tt0062601/,
"ActionFantasy18 May 1972 (Philippines)
","

, 


    
            ",Batwoman and Robin Meet the Queen of the Vampires             ,https://www.imdb.com/title/tt1194654/,1972
"ActionAdventureDramaEpisode aired 6 April 2018
","
                    TV-14
                        
    
, 
, 

    
            ",Inside Voices             ,https://www.imdb.com/title/tt7183120/,
"ActionDramaMysteryEpisode aired 18 April 2018
","
                    TV-14
                        
    
, 
, 

    
            ",Kirkman Agonistes             ,https://www.imdb.com/title/tt7641608/,
"DramaMysteryTV Series (2004–2012)
","
                    TV-14
                        
    
, 


    
            ",House             ,https://www.imdb.com/title/tt0412142/,
"ComedyEpisode aired 21 October 2008
","
                    
    


    
            ","Lies, Lies, Lies, Yeah-ah             ",https://www.imdb.com/title/tt1314079/,
"ComedyTalk-ShowEpisode aired 24 November 1983
","
                    
    
, 


    
            ",Robert Blake/Jim Carrey/Bud Greenspan             ,https://www.imdb.com/title/tt6267038/,
"Reality-TVTV Series (2008– )
","
                    TV-14
                        
    


    
            ",The Real Housewives of New York City             ,https://www.imdb.com/title/tt1191056/,
"ComedyDramaFamilyTV Series (1989–1998)
","
                    TV-G
                        
    
, 
, 

    
            ",Family Matters             ,https://www.imdb.com/title/tt0096579/,
"HorrorSci-Fi22 June 1979 (USA)
","
                    R
                        
    
, 


    
            ",Alien             ,https://www.imdb.com/title/tt0078748/,1979
"NewsTV Special 19 March 1953
","



    
            ",The 25th Annual Academy Awards             ,https://www.imdb.com/title/tt0337799/,1953
"DocumentaryAnimationComedyEpisode aired 1 May 2015
","
                    TV-MA
                        
    
, 
, 

    
            ",Robot Monster             ,https://www.imdb.com/title/tt6167886/,
"BiographyComedyDrama25 December 2018 (USA)
","
                    R
                        
    
, 
, 

    
            ",Vice             ,https://www.imdb.com/title/tt6266538/,2018
"Talk-ShowEpisode aired 4 October 2011
","
                    
    


    
            ",Rob Brydon             ,https://www.imdb.com/title/tt2071848/,
"ActionAdventureDramaEpisode airs 2019
","
                    TV-PG
                        
    
, 
, 

    
            ",Episode #6.5             ,https://www.imdb.com/title/tt8416912/,
"MusicTV Series (1971–2018)
","



    
            ",Whistle Test             ,https://www.imdb.com/title/tt0259795/,
"Talk-ShowEpisode aired 19 June 2006
","
                    
    


    
            ",Episode dated 19 June 2006             ,https://www.imdb.com/title/tt0820725/,
"ComedyEpisode aired 26 April 2012
","
                    TV-14
                        
    


    
            ",Live from Studio 6H             ,https://www.imdb.com/title/tt2336547/,
"AdultFantasySci-FiVideo 4 September 2012
","
                    X
                        
    
, 
, 

    
            ",Batgirl XXX: An Extreme Comixxx Parody             ,https://www.imdb.com/title/tt2511450/,2012
"ActionAdventureDramaEpisode aired 30 March 2018
","
                    TV-14
                        
    
, 
, 

    
            ",Rise and Shine             ,https://www.imdb.com/title/tt7183116/,
"ActionCrimeDrama14 August 1987 (USA)
","
                    R
                        
    
, 
, 

    
            ",No Way Out             ,https://www.imdb.com/title/tt0093640/,1987
"TV Special 17 September 2011
","
                    
    
            ",2011 Primetime Creative Arts Emmy Awards             ,https://www.imdb.com/title/tt2060474/,2011
"ComedyEpisode aired 20 October 2008
","
                    
    


    
            ",Pilot             ,https://www.imdb.com/title/tt1314975/,
"CrimeDramaTV Series (1975–1978)
","
                    TV-PG
                        
    
, 


    
            ",Baretta             ,https://www.imdb.com/title/tt0072471/,
"Reality-TVEpisode aired 12 May 2009
","
                    TV-14
                        
    


    
            ",Reunion: Watch What Happens - Part 1             ,https://www.imdb.com/title/tt1443430/,
"ComedyMusicEpisode aired 1993
","
                    
    
, 


    
            ",Talent             ,https://www.imdb.com/title/tt3084818/,
"DocumentaryShortVideo 30 September 1998
","
                    
    
, 


    
            ",Cronenberg Interview: Shivers             ,https://www.imdb.com/title/tt0404894/,1998
"ComedyMusicTV Special 26 February 2017
","
                    TV-14
                        
    
, 


    
            ",The Oscars             ,https://www.imdb.com/title/tt5850440/,2017
"ActionSci-FiThriller12 January 1996 (USA)
","
                    PG-13
                        
    
, 
, 

    
            ",Lawnmower Man 2: Beyond Cyberspace             ,https://www.imdb.com/title/tt0116839/,1996
"Talk-ShowEpisode aired 15 January 2006
","
                    
    


    
            ",Robert Winston             ,https://www.imdb.com/title/tt1172383/,
"ComedySci-FiEpisode aired 2 November 1981
","
                    
    
, 


    
            ",Why Are We Here?             ,https://www.imdb.com/title/tt1235456/,
