genre,level,title,time
Comedy,PG (adult situations/language),The First Wives Club,20-Sep-96
Action & AdventureDramaHorror,"R (adult situations/language, violence)",The Ghost and the Darkness,11-Oct-96
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,R (for violence and some language),John Carpenter's Escape from L.A.,9-Aug-96
DramaRomance,"R (adult situations/language, nudity)",Stealing Beauty,14-Jun-96
Comedy,PG-13 (adult situations/language),The Cable Guy,14-Jun-96
Action & AdventureComedyScience Fiction & Fantasy,PG-13 (For sci-fi fantasy violence and brief sexuality.),Mars Attacks!,13-Dec-96
DramaHorror,"R (adult situations/language, violence)",The Craft,3-May-96
ComedyDramaMystery & Suspense,"R (adult situations/language, nudity, violence)",2 Days in the Valley,27-Sep-96
DramaScience Fiction & FantasyRomance,PG,The Preacher's Wife,13-Dec-96
Action & AdventureScience Fiction & Fantasy,PG (violence),The Phantom,7-Jun-96
ComedyDramaRomance,R (adult situations/language),She's the One,23-Aug-96
ComedySpecial Interest,PG-13 (language and some comic sexuality),Happy Gilmore,16-Feb-96
DramaRomance,PG-13 (adult situations),The Portrait of a Lady,24-Dec-96
DramaHorrorMystery & Suspense,"R (for strong violence and gore, language and nudity)",From Dusk Till Dawn,19-Jan-96
Action & AdventureMystery & Suspense,PG-13 (for some intense action violence),Mission: Impossible,22-May-96
Action & AdventureDrama,PG-13 (for intense depiction of very bad weather),Twister,10-May-96
ComedyDramaRomance,"R (adult situations/language, nudity)",Tin Cup,16-Aug-96
DramaMystery & Suspense,NC17 (For numerous explicit sex scenes),Crash,17-May-96
Action & AdventureMystery & Suspense,"R (adult situations/language, nudity, violence)",The Long Kiss Goodnight,11-Oct-96
AnimationComedy,PG-13 (adult situations/language),Beavis and Butt-head Do America,20-Dec-96
DramaRomance,PG-13 (for scenes of contemporary violence and some sensuality),Romeo + Juliet,1-Nov-96
DramaMystery & Suspense,"R (adult situations/language, violence)",Michael Collins,11-Oct-96
ComedyDrama,PG-13 (adult situations/language),The Nutty Professor,28-Jun-96
DramaMystery & Suspense,"R (adult situations/language, violence)",A Time to Kill,24-Jul-96
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,PG-13 (for sci-fi destruction and violence),Independence Day,2-Jul-96
Action & Adventure,"R (for strong violence, language and a sex scene)",The Rock,7-Jun-96
Drama,PG-13,The Crucible,13-Dec-96
ComedyDramaMusical & Performing Arts,R,Everyone Says I Love You,6-Dec-96
ComedyDrama,R,Beautiful Girls,9-Feb-96
ComedyGay & Lesbian,R (adult situations/language),The Birdcage,6-Mar-96
ComedyScience Fiction & FantasySpecial Interest,PG-13,Mystery Science Theater 3000: The Movie,19-Apr-96
AnimationDramaKids & Family,G,The Hunchback of Notre Dame,21-Jun-96
DocumentaryDramaMusical & Performing ArtsSpecial Interest,PG-13 (violence),Looking for Richard,11-Oct-96
DramaMystery & Suspense,"R (adult situations/language, sex, violence)",Sleepers,18-Oct-96
DramaMystery & Suspense,R,Primal Fear,5-Apr-96
Drama,R (For sexuality and language),Eve's Bayou,1-Jun-96
Action & AdventureDramaMystery & Suspense,R,Ransom,8-Nov-96
Drama,PG-13,Marvin's Room,20-Dec-96
ComedyDramaRomance,R (for language and sexuality),Jerry Maguire,13-Dec-96
Drama,"R (adult situations/language, violence)",Courage Under Fire,12-Jul-96
Art House & InternationalDramaRomance,"R (adult situations/language, sex, violence)",Breaking the Waves,29-Nov-96
ComedyDrama,R,Bottle Rocket,23-Feb-96
DramaRomance,"R (For sexuality, some violence and language.)",The English Patient,15-Nov-96
DramaKids & Family,PG (for an opening accident scene and some mild language.),Fly Away Home,13-Sep-96
HorrorMystery & Suspense,R,Scream,20-Dec-96
Comedy,R,Flirting With Disaster,22-Mar-96
ComedyDrama,R (for language throughout),Swingers,18-Oct-96
Art House & InternationalComedyDramaMystery & SuspenseRomance,PG-13,Chungking Express,8-Mar-96
DramaMystery & Suspense,"R (For strong sexuality, violence and language.)",Bound,19-Jun-01
Drama,"R (adult situations/language, violence)",Get on the Bus,16-Oct-96
ComedyDrama,"R (adult situations/language, nudity, sex, violence)",The People Vs. Larry Flynt,25-Dec-96
Art House & InternationalComedy,PG (adult situations/language),Cold Comfort Farm,10-May-96
ComedyRomance,PG,Emma,2-Aug-96
DramaMusical & Performing Arts,PG-13 (For nudity/sensualtiy and intense thematic elements),Shine,20-Nov-96
Comedy,R,Waiting for Guffman,21-Aug-96
ComedyDrama,"R (for graphic heroin use and resulting depravity, strong language, sex, nudity and violence)",Trainspotting,19-Jul-96
Action & AdventureScience Fiction & Fantasy,PG-13 (for some sci-fi adventure violence),Star Trek: First Contact,22-Nov-96
ComedyKids & Family,PG,That Thing You Do!,4-Oct-96
AnimationKids & Family,PG,James and the Giant Peach,12-Apr-96
DramaMystery & Suspense,R (adult situations/language),Fargo,8-Mar-96
Action & AdventureArt House & InternationalComedy,R (for some violence),Supercop,13-Jan-09
AnimationAnime & MangaArt House & InternationalScience Fiction & Fantasy,R,Ghost in the Shell,18-Nov-03
Drama,R,Sling Blade,27-Nov-96
ComedyDramaRomance,R (for language),Big Night,20-Sep-96
DocumentarySports & Fitness,PG,When We Were Kings,14-Sep-99
Drama,NC17,Showgirls,22-Sep-95
ComedyDrama,PG-13 (adult situations),Mother,13-Feb-01
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,PG-13,Hackers,15-Sep-95
Action & AdventureMystery & Suspense,PG,The Net,28-Jul-95
Action & AdventureKids & Family,PG-13,Cutthroat Island,22-Dec-95
Comedy,PG-13 (for language and crude humor.),Billy Madison,10-Feb-95
Action & AdventureScience Fiction & Fantasy,PG-13 (for strong stylized action),Batman Forever,16-Jun-95
ComedySpecial Interest,"PG-13 (for sex-related humor, some drug content and nudity)",Tommy Boy,31-Mar-95
DramaMystery & SuspenseWesternRomance,"R (adult situations/language, nudity, violence)",Lone Star,21-Jun-96
DramaRomance,PG-13,Hamlet,25-Dec-96
Action & AdventureComedyDramaRomance,PG-13,First Knight,7-Jul-95
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,PG-13,Waterworld,1-Nov-98
Science Fiction & Fantasy,"R (for sci-fi violence, strong sexuality and some language)",Species,7-Jul-95
Drama,NC17 (N/A),Kids,28-Jul-95
Action & AdventureMystery & Suspense,R,Die Hard: With a Vengeance,19-May-95
Comedy,R (adult situations/language),Mallrats,20-Oct-95
Action & AdventureDramaMystery & SuspenseScience Fiction & Fantasy,R (for language),Outbreak,10-Mar-95
Horror,R,In the Mouth of Madness,3-Feb-95
Action & AdventureMystery & Suspense,R,Desperado,25-Aug-95
DramaMystery & SuspenseScience Fiction & Fantasy,R,Strange Days,13-Oct-95
Comedy,PG-13,The Brady Bunch Movie,10-Jun-03
Action & Adventure,R,Bad Boys,19-May-95
Art House & InternationalComedyDramaRomance,"R (for strong sexual content, and for some violence, including a rape scene.)",Antonia (Antonia's Line),12-Sep-95
DramaMystery & Suspense,R,Clockers,13-Sep-95
DramaScience Fiction & FantasyWestern,R,Dead Man,26-May-95
Action & AdventureCult MoviesWestern,"R (Violence, flash of nudity)",The Quick and the Dead,10-Feb-95
DocumentaryDrama,R,Nixon,22-Dec-95
Action & AdventureAnimationDrama,G,Pocahontas,16-Jun-95
ComedyRomance,R,Muriel's Wedding,10-Mar-95
Action & AdventureArt House & InternationalDramaScience Fiction & Fantasy,R (for disturbing and grotesque images of violence and menace),The City of Lost Children (La Cité des Enfants Perdus),15-Dec-95
Action & AdventureMystery & Suspense,PG-13,GoldenEye,17-Nov-95
ComedyDramaKids & Family,PG-13,Home for the Holidays,3-Nov-95
ComedyDramaRomance,PG (adult situations),Sabrina,15-Dec-95
ComedySpecial InterestRomance,PG-13,Clueless,21-Jul-95
ComedyDramaMystery & Suspense,"R (for scenes of strong grisly violence, and for some language and nudity.)",Shallow Grave,1-Jun-95
Action & AdventureArt House & InternationalComedy,"R (nudity, violence)",Rumble in the Bronx,21-Jan-95
ComedyDramaRomance,PG,While You Were Sleeping,21-Apr-95
Action & AdventureDocumentaryDrama,R,Rob Roy,7-Apr-95
DramaMystery & Suspense,R,Dolores Claiborne,24-Mar-95
DramaMystery & Suspense,R,Seven (Se7en),22-Sep-95
DramaMystery & Suspense,R,Death and the Maiden,1-Jun-95
DramaMystery & Suspense,"R (adult situations/language, sex)",Safe,23-Jun-95
Action & AdventureClassicsDrama,R (for brutal medieval warfare),Braveheart,26-May-95
Action & AdventureDrama,R,Crimson Tide,12-May-95
Comedy,R,Get Shorty,20-Oct-95
Drama,"R (for strong brutal violence, pervasive strong language, drug use and some sexuality.)",Casino,22-Nov-95
DramaMystery & Suspense,R,Devil in a Blue Dress,29-Sep-95
ComedyDrama,R (adult situations/language),Welcome to the Dollhouse,10-Sep-95
DramaScience Fiction & Fantasy,R (for violence and language.),Twelve Monkeys (12 Monkeys),27-Dec-95
DramaRomance,"R (adult situations/language, sex)",Leaving Las Vegas,27-Oct-95
DramaRomance,PG-13,The Bridges of Madison County,2-Jun-95
DramaMystery & Suspense,R (for violence and a substantial amount of strong language),The Usual Suspects,16-Aug-95
ComedyDramaRomance,PG-13 (for some strong language.),The American President,17-Nov-95
ComedyCult MoviesDocumentaryDramaMusical & Performing ArtsSpecial Interest,R (graphic sex-related cartoons and for language),Crumb,9-Mar-99
Action & AdventureDrama,PG (language and emotional intensity),Apollo 13,30-Jun-95
Action & AdventureMystery & Suspense,"R (adult situations/language, sex, violence)",Heat,15-Dec-95
ComedyDramaMystery & Suspense,"R (for strong sexual content, and for language)",To Die For,29-Sep-95
DramaRomance,R,Before Sunrise,27-Jan-95
AnimationComedyKids & Family,G,Toy Story,22-Nov-95
DramaMystery & Suspense,R,Color of Night,19-Aug-94
Action & AdventureComedyMystery & SuspenseRomance,PG,I Love Trouble,29-Jun-94
Horror,R,Mary Shelley's Frankenstein,4-Nov-94
Drama,R,Richard III,29-Dec-95
Action & AdventureScience Fiction & Fantasy,R,Timecop,16-Sep-94
Action & AdventureDramaKids & FamilyScience Fiction & Fantasy,PG (for some moments that may be disquieting to small children),The Secret of Roan Inish,3-Feb-95
DramaMystery & Suspense,"R (adult situations/language, violence)",Dead Man Walking,29-Dec-95
Action & AdventureScience Fiction & Fantasy,PG-13 (for sci-fi action violence),Stargate,17-Jun-97
Action & AdventureDramaScience Fiction & Fantasy,PG,Star Trek Generations,18-Nov-94
Action & AdventureDramaKids & FamilyScience Fiction & Fantasy,G,Babe,4-Aug-95
DramaRomance,PG (adult situations),Sense and Sensibility,14-Dec-95
Comedy,PG,The Hudsucker Proxy,1-Jan-94
DramaWesternRomance,R,Legends of the Fall,23-Dec-94
DramaMystery & Suspense,R,Disclosure,9-Dec-94
ComedyKids & Family,PG (Rated PG for some mild innuendos.),The Flintstones,25-May-94
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,PG-13 (for fantasy action violence),The Shadow,1-Jul-94
HorrorScience Fiction & FantasyRomance,"R (for vampire violence and gore, and for sexuality)",Interview with the Vampire,11-Nov-94
ComedyDramaHorror,R,Serial Mom,13-Apr-94
Drama,R,Cobb,2-Dec-94
Action & AdventureComedyWestern,PG-13,Maverick,20-May-94
Action & AdventureComedySpecial Interest,PG-13,Dumb and Dumber,16-Dec-94
Action & AdventureComedyMystery & SuspenseRomance,R (for a lot of action/violence and some language),True Lies,15-Jul-94
ComedyDrama,R,The Ref,9-Mar-94
Action & AdventureDramaMystery & Suspense,"R (for scenes of strong graphic violence, and for language)",Léon: The Professional,18-Nov-94
Action & AdventureComedyKids & FamilyScience Fiction & Fantasy,PG,The Santa Clause,11-Nov-94
ComedyDramaRomance,"PG-13 (for drug content, some sensuality and war violence)",Forrest Gump,6-Jul-94
Action & AdventureDramaMystery & Suspense,PG-13,Clear and Present Danger,3-Aug-94
Action & AdventureScience Fiction & Fantasy,"R (For a great amount of strong violence and language, and for drug use and some sexuality.)",The Crow,1-Jan-94
DramaHorrorScience Fiction & FantasyRomance,R (for language and werewolf attacks),Wolf,17-Jun-94
Action & AdventureArt House & InternationalComedy,R (for violent content),The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),3-Feb-94
ComedyCult MoviesDrama,R (on appeal for extensive use of extremely explicit sex-related dialogue.),Clerks,19-Oct-94
Art House & InternationalComedyDrama,R,Three Colors: White (Trois Couleurs: Blanc),10-Jun-94
Art House & InternationalDramaHorrorMystery & Suspense,R,Cronos,1-Jun-94
Art House & InternationalComedyDramaRomance,NR,Eat Drink Man Woman (Yin shi nan nu),3-Aug-94
DramaScience Fiction & FantasyRomance,R,Heavenly Creatures,16-Nov-94
Drama,R,The Shawshank Redemption,10-Sep-94
ComedyDrama,PG-13 (adult situations/language),The Madness of King George,28-Dec-94
Drama,R,Once Were Warriors,2-Sep-03
ComedyDrama,R,Ed Wood,28-Sep-94
Action & AdventureMystery & Suspense,R (N/A),Speed,10-Jun-94
Action & AdventureComedyScience Fiction & Fantasy,PG-13,The Mask,29-Jul-94
DramaMystery & Suspense,R,The Last Seduction,18-Jun-94
ComedyDrama,R,"The Adventures of Priscilla, Queen of the Desert",10-Aug-94
Drama,"R (for strong graphic violence and drug use, pervasive strong language and some sexuality.)",Pulp Fiction,23-Sep-94
Drama,PG-13,Quiz Show,14-Sep-94
ComedyDramaRomance,"R (for language, and for some sexuality.)",Four Weddings and a Funeral,9-Mar-94
Comedy,PG,Bullets Over Broadway,21-Oct-94
DocumentarySpecial InterestSports & Fitness,PG-13,Hoop Dreams,9-May-00
Action & AdventureAnimationDramaKids & FamilyMusical & Performing Arts,G,The Lion King,15-Jun-94
ComedyDrama,R,Nobody's Fool,23-Dec-94
ComedyKids & FamilyScience Fiction & Fantasy,"PG (for some scary sequences, and for language)",Hocus Pocus,16-Jul-93
Action & AdventureDramaMystery & Suspense,"R (for strong sexuality, language and some violence)",Rising Sun,30-Jul-93
Drama,R,Indecent Proposal,7-Apr-93
Action & AdventureComedyScience Fiction & Fantasy,PG-13,Last Action Hero,18-Jun-93
Comedy,PG-13,Robin Hood: Men in Tights,28-Jul-93
Action & AdventureComedy,PG-13 (for off-color humor and some nudity),Ace Ventura: Pet Detective,1-Jun-93
DramaMystery & Suspense,PG-13,The Pelican Brief,17-Dec-93
ComedyDramaKids & FamilySports & Fitness,PG (for language and some rude humor),The Sandlot,1-Apr-93
Comedy,PG-13,Wayne's World 2,10-Dec-93
ComedyDrama,PG-13,Grumpy Old Men,24-Dec-93
ComedyDramaRomance,"PG-13 (for some language, drug content and sensuality.)",Reality Bites,1-Jun-93
ComedyDramaKids & Family,PG-13 (for some sexual references),Mrs. Doubtfire,24-Nov-93
Action & AdventureComedyHorrorScience Fiction & Fantasy,R (for violence and horror),Army of Darkness,19-Feb-93
Action & AdventureWestern,R (violence),Tombstone,25-Dec-93
Art House & InternationalDramaRomance,R,Three Colors: Red (Trois couleurs: Rouge),23-Nov-94
Action & AdventureDramaMystery & Suspense,R (for violence and strong language.),Falling Down,26-Feb-93
ComedyDramaRomance,PG,Sleepless in Seattle,25-Jun-93
ComedyHorror,PG-13 (for macabre humor.),Addams Family Values,19-Nov-93
DramaKids & Family,PG (Rated PG for mild language.),Rudy,28-Aug-01
Drama,PG-13,Philadelphia,22-Dec-93
Drama,R,Carlito's Way,1-Jan-93
DramaRomance,PG (for thematic elements and some mild language.),The Age of Innocence,1-Oct-93
DramaScience Fiction & FantasyRomance,PG-13 (for some sensuality),Orlando,9-Jun-93
Action & Adventure,R,Cliffhanger,11-Nov-97
Drama,PG-13,What's Eating Gilbert Grape,25-Dec-93
Comedy,"R (for pervasive, continuous teen drug and alcohol use and very strong language)",Dazed and Confused,24-Sep-93
Action & AdventureDramaMystery & Suspense,R,True Romance,10-Sep-93
Art House & InternationalDramaRomance,R,The Piano,19-Nov-93
Drama,R (for language and politically-generated violence),In the Name of the Father,29-Dec-93
DramaMystery & Suspense,R,The Firm,1-Jun-93
DramaRomance,PG,The Remains of the Day,5-Nov-93
ComedyDrama,R,Short Cuts,3-Oct-93
ComedyRomance,PG-13 (for momentary language and a situation),Dave,7-May-93
DramaMusical & Performing Arts,R,What's Love Got To Do With It?,9-Jun-93
Art House & InternationalDramaMystery & SuspenseRomance,R,Three Colors: Blue (Trois Couleurs: Bleu),5-Dec-93
Action & AdventureMystery & Suspense,R,In the Line of Fire,9-Jul-93
DramaKids & Family,G,The Secret Garden,18-Mar-93
Drama,R,Naked,15-Oct-93
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,PG-13 (for intense science fiction terror),Jurassic Park,11-Jun-93
ComedyDramaRomance,PG-13 (for momentary sensuality.),Much Ado About Nothing,7-May-93
ComedyScience Fiction & FantasySpecial InterestRomance,PG (for some thematic elements),Groundhog Day,12-Feb-93
AnimationKids & FamilyScience Fiction & Fantasy,PG (for some scary images.),The Nightmare Before Christmas,24-Oct-93
Drama,PG,Searching for Bobby Fischer,14-Aug-93
Drama,R,Schindler's List,15-Dec-93
Action & AdventureComedyHorror,PG-13,Buffy the Vampire Slayer,31-Jul-92
HorrorScience Fiction & Fantasy,R (violence),Alien3,1-Jan-92
ComedyScience Fiction & Fantasy,PG-13,Death Becomes Her,31-Jul-92
DramaHorrorMystery & SuspenseRomance,"R (adult situations/language, nudity, sex)",Basic Instinct,20-Mar-92
DramaMystery & Suspense,R (N/A),Single White Female,14-Aug-92
Action & Adventure,"R (adult situations/language, violence)",Lethal Weapon 3,15-May-92
Drama,PG-13,Chaplin,18-Dec-92
DramaMystery & Suspense,R,The Hand that Rocks the Cradle,10-Jan-92
HorrorScience Fiction & FantasyRomance,R (for sexuality and horror violence),Bram Stoker's Dracula,7-Oct-97
Action & AdventureDramaMystery & Suspense,PG-13 (for a murder and other action sequences in an adventure setting),The Fugitive,6-Aug-93
Horror,R,Candyman,16-Oct-92
Kids & FamilyScience Fiction & Fantasy,G,The Muppet Christmas Carol,1-Jan-92
DramaMystery & Suspense,R,Bad Lieutenant,20-Nov-92
ComedyDrama,"R (adult situations/language, nudity)",White Men Can't Jump,27-Mar-92
Action & AdventureComedyDramaMystery & Suspense,PG-13,Sneakers,9-Sep-92
ComedyDramaSports & Fitness,PG (adult situations/language),A League of Their Own,1-Jul-92
Drama,PG,A River Runs Through It,9-Oct-92
Action & AdventureScience Fiction & Fantasy,PG-13 (violence),Batman Returns,19-Jun-92
DramaMystery & Suspense,R,A Few Good Men,11-Dec-92
Comedy,PG-13,Wayne's World,14-Feb-92
Comedy,R (for language),My Cousin Vinny,13-Mar-92
DramaMystery & SuspenseSpecial Interest,R,Twin Peaks - Fire Walk with Me,28-Aug-92
Art House & InternationalComedyDramaScience Fiction & Fantasy,R (for violence),Delicatessen,3-Apr-92
Action & AdventureDramaMystery & Suspense,"R (violence, language)",Reservoir Dogs,21-Jan-92
Art House & InternationalDramaRomance,PG,Howards End,13-Mar-92
DramaMystery & SuspenseRomance,R,The Crying Game,25-Nov-92
ComedyDramaRomance,PG-13,Singles,18-Sep-92
Drama,R (for language),Glengarry Glen Ross,29-Sep-92
Action & AdventureDramaMystery & Suspense,R,One False Move,1-Jun-92
ComedyDrama,"R (for language, and for some sensuality)",The Player,10-Apr-92
Action & AdventureDrama,R,A Midnight Clear,24-Apr-92
Drama,R,Scent of a Woman,23-Dec-92
Drama,PG-13,Malcolm X,18-Nov-92
ComedyDramaRomance,R,Husbands and Wives,18-Oct-92
ComedyDramaRomance,PG,Strictly Ballroom,1-Feb-92
Action & AdventureAnimationComedyKids & FamilyMusical & Performing Arts,G,Aladdin,11-Nov-92
DramaWestern,"R (for language, and violence, and for a scene of sexuality)",Unforgiven,3-Aug-92
Art House & InternationalComedyDrama,R (for language and sexual content),Factotum,18-Aug-06
DramaMusical & Performing ArtsMystery & Suspense,"PG-13 (for thematic material involving torture and abuse, violence and brief language)",Catch a Fire,27-Oct-06
DocumentaryMusical & Performing Arts,"PG-13 (for some strong language, violent images and drug references)",The U.S. vs. John Lennon,29-Sep-06
HorrorMystery & Suspense,"PG-13 (for thematic material including disturbing sequences of violence and terror, frightening images and language)",1408,22-Jun-07
DocumentarySpecial Interest,"PG-13 (for some strong language, sexual material, some drinking and brief smoking-all involving teens)",American Teen,19-Jan-08
Action & AdventureScience Fiction & Fantasy,"PG-13 (for sequences of intense action violence, some frightening sci-fi images and brief suggestive content)",The Incredible Hulk,12-Jun-08
Drama,"R (for language, some sexuality and drug use)",A Summer In Genoa,27-Mar-09
ComedyKids & FamilyScience Fiction & Fantasy,"PG (for rude humor, some language and mild thematic elements)",Nanny McPhee Returns,20-Aug-10
Art House & InternationalDramaMystery & Suspense,"R (for disturbing violent content including sexual assault, strong sexuality, graphic nudity, drug use and language)",The Skin I Live In,14-Oct-11
Drama,NC17 (for some explicit sexual content),Shame,2-Dec-11
DramaMystery & Suspense,"R (for drug and alcohol abuse, language, sexuality/nudity and an intense action sequence)",Flight,2-Nov-12
DocumentarySpecial Interest,NR,Crazy Horse,28-Jul-14
DramaMystery & Suspense,"PG-13 (for thematic elements, some violence, brief strong language and drug use)",The Good Lie,3-Oct-14
Drama,"R (for violence, disturbing material, language and some strong sexual content)",Joe,11-Apr-14
Documentary,PG-13 (for some strong language),Zero Days,8-Jul-16
Action & AdventureDrama,"R (for strong frontier combat and violence including gory images, a sexual assault, language and brief nudity)",The Revenant,25-Dec-15
Drama,R (for some disturbing violent content.),Silence,13-Jan-17
Art House & InternationalDrama,NR,Clash (Eshtebak),25-Aug-17
Documentary,"PG-13 (for brief strong language, and smoking)",School Life,
Art House & InternationalComedyDramaHorrorScience Fiction & Fantasy,NR,Prevenge,24-Mar-17
Art House & InternationalDramaRomance,PG-13 (for some thematic content and brief sexuality),Maudie,16-Jun-17
Art House & InternationalDrama,"R (for violence, some grisly images, and language)",Land of Mine (Under Sandet),10-Feb-17
Art House & InternationalDramaScience Fiction & Fantasy,NR,Endless Poetry (Poesía Sin Fin),14-Jul-17
DramaMystery & Suspense,R (for strong violence and pervasive language),Detroit,4-Aug-17
Action & AdventureDramaScience Fiction & Fantasy,NR,Okja,28-Jun-17
Documentary,PG-13 (for thematic material including a disturbing image),Human Flow,16-Feb-17
Documentary,NR,All This Panic,31-Mar-17
Documentary,NR,Icarus,4-Aug-17
Documentary,NR,Abacus: Small Enough to Jail,
Documentary,NR,Citizen Jane: Battle for the City,12-Sep-17
Drama,NR,Gook,18-Aug-17
Art House & InternationalComedyDrama,NR,The Other Side of Hope (Toivon tuolla puolen),1-Dec-17
Action & AdventureDrama,"PG-13 (for violence, disturbing images, brief strong language and some nudity)",The Lost City of Z,21-Apr-17
Art House & InternationalDrama,PG-13 (for thematic elements including brief war violence),Frantz,15-Mar-17
ComedyDramaRomance,R (for some language and a scene of sexuality),Their Finest,7-Apr-17
ComedyDrama,"R (for crude and sexual content throughout, pervasive language, brief graphic nudity, and drug material)",Girls Trip,21-Jul-17
Drama,PG-13 (for some thematic material),Darkest Hour,22-Dec-17
Art House & InternationalDrama,"R (for some disturbing violence, strong sexuality/nudity, and language.)",Lady Macbeth,14-Jul-17
ComedyDramaKids & FamilyScience Fiction & Fantasy,PG-13 (for thematic content and some scary images),A Monster Calls,6-Jan-17
Action & AdventureDramaMystery & Suspense,R (for language throughout and some sexuality/nudity),American Made,29-Sep-17
DramaHorror,"R (for violence, disturbing images, and language)",It Comes At Night,9-Jun-17
DramaMystery & Suspense,"R (strong violence, a rape, disturbing images, and language)",Wind River,4-Aug-17
Art House & InternationalDrama,NR,Félicité,27-Oct-17
Art House & InternationalComedyDrama,NR,The Women's Balcony (Ismach Hatani),3-Mar-17
Documentary,NR,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",17-Nov-17
Documentary,NR,I Called Him Morgan,24-Mar-17
Drama,"R (for language throughout, some graphic injury images, and brief sexuality/nudity)",Stronger,22-Sep-17
Art House & InternationalMystery & Suspense,NR,Thelma,10-Nov-17
Art House & InternationalDramaRomanceSports & Fitness,NR,The Happiest Day in the Life of Olli Mäki (Hymyilevä mies),21-Apr-17
Drama,"PG-13 (for thematic elements, disturbing images and brief suggestive material)",A Quiet Passion,14-Apr-17
Documentary,R (for some graphic nude images and brief language),The B-Side: Elsa Dorfman's Portrait Photography,
ComedyDrama,"R (for sexual material, language, some nudity and brief drug use)",20th Century Women,20-Jan-17
Documentary,NR,Bombshell: The Hedy Lamarr Story,24-Nov-17
Horror,"R (for aberrant behavior, bloody and grisly images, strong sexuality, nudity, language and drug use/partying)",Raw,10-Mar-17
ComedyDramaSports & Fitness,PG-13 (for some sexual content and partial nudity),Battle of the Sexes,29-Sep-17
AnimationDramaKids & Family,PG-13 (for thematic material including some violent images),The Breadwinner,17-Nov-17
Documentary,NR,Dolores,
Documentary,NR,Ex Libris: New York Public Library,13-Sep-17
Art House & InternationalDramaMystery & SuspenseScience Fiction & Fantasy,NR,The Survivalist,19-May-17
Documentary,NR,The Last Laugh,3-Mar-17
Art House & InternationalDrama,NR,1945,1-Nov-17
Art House & InternationalDrama,R (for language),"I, Daniel Blake",2-Jun-17
Documentary,NR,Trophy,
AnimationArt House & InternationalDrama,PG-13 (for thematic elements including war-related images),In This Corner of the World (Kono sekai no katasumi ni),11-Aug-17
Action & AdventureComedyScience Fiction & Fantasy,"PG-13 (for sequences of sci-fi action and violence, language, and brief suggestive content)",Guardians of the Galaxy Vol. 2,5-May-17
AnimationArt House & International,PG (for some thematic elements and peril),The Red Turtle (La tortue rouge),20-Jan-17
Documentary,PG (for thematic elements and some language),Step,
Documentary,NR,Dina,
Documentary,NR,Quest,
Action & AdventureDrama,"R (for strong violence throughout, some language and brief nudity)",John Wick: Chapter 2,10-Feb-17
ComedyDrama,NR,The Meyerowitz Stories (New and Selected),13-Oct-17
DramaHorrorMystery & Suspense,"R (for violence/horror, bloody images, and for language)",It,8-Sep-17
Drama,PG (for thematic elements.),Menashe,28-Jul-17
Drama,"R (for language throughout, violence, drug use and sexual content)",Good Time,25-Aug-17
Art House & InternationalDrama,R (for some language),Graduation (Bacalaureat),7-Apr-17
Documentary,R (for language throughout),Whose Streets?,
Art House & InternationalDrama,NR,After the Storm (Umi yori mo mada fukaku),17-Mar-17
AnimationDramaRomance,"PG (for thematic elements, suggestive content, brief language, and smoking)",Your Name. (Kimi No Na Wa.),7-Apr-17
Documentary,NR,Strong Island,15-Sep-17
Art House & InternationalComedyDrama,NR,Truman,7-Apr-17
Art House & InternationalDramaRomance,NR,God's Own Country,25-Oct-17
Drama,NR,Columbus,4-Aug-17
Documentary,NR,Dawson City: Frozen Time,
Documentary,NR,The Work,25-Oct-17
Documentary,PG (Jane: In The Shadow Of Man),Jane,20-Oct-17
Documentary,NR,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,7-Jan-17
Documentary,"R (for disturbing violent content, and for some language)",City of Ghosts,
Drama,R (for brief language and a disturbing image),A Ghost Story,7-Jul-17
ComedyDrama,NR,Lucky,29-Sep-17
Documentary,NR,Kedi,14-Nov-17
Art House & InternationalDrama,NR,BPM (Beats Per Minute) (120 battements par minute),20-Oct-17
Action & AdventureAnimationComedyKids & Family,PG (for rude humor and some action),The Lego Batman Movie,10-Feb-17
AnimationArt House & InternationalKids & Family,PG-13 (for thematic elements and suggestive material),My Life as a Zucchini (Ma vie de courgette),24-Feb-17
Comedy,PG-13 (for language and some crude comments),Logan Lucky,18-Aug-17
Art House & InternationalDramaMystery & Suspense,PG-13 (for mature thematic elements and a brief bloody image),The Salesman (Forushande),27-Jan-17
Art House & InternationalDocumentary,PG (for brief nude images and thematic elements),"Faces Places (Visages, villages)",6-Mar-18
Drama,"R (for some disturbing violence, brief language and nudity)",Mudbound,17-Nov-17
Action & AdventureDramaScience Fiction & Fantasy,"R (for violence, some sexuality, nudity and language)",Blade Runner 2049,6-Oct-17
Comedy,R (for language throughout and some sexuality/nudity),The Disaster Artist,8-Dec-17
